id;product;calories;fat;saturated;trans; monounsaturated; polyunsaturated;cholesterol;total;starch;sugar;added;protein;fiber; salt
05.324;Sjokoladekake, med glasur, kjøpt;419;21,6;5,6;0,2;7,3;7,3;46;50;15,6;34,5;32;5;2;0,9
05.486;Sjokoladekake, med ostekrem, glutenfri;439;22,2;6,8;0,2;8,1;5,8;58;55,7;12,7;43;42,6;3,6;1;0,4
05.484;Sjokoladekake, med smørkrem, glutenfri;376;18,1;9,2;0,3;5,5;1,7;80;49;11,2;37,9;36,9;3,5;2;0,4
05.201;Sjokoladekake, uten glasur;351;16,6;6,9;0,1;5,9;2,4;57;42,1;21,6;20,5;19,4;7,1;2;0,5
05.110;Smultringer;549;42,4;24,6;0,3;12,2;2,8;66;36,2;13,9;22,3;21;5,1;1;0,1
05.416;Snickerskake;427;21,6;8,3;0,2;9,5;1,9;67;47,8;6,7;41,2;39,8;8,9;3;0,8
05.111;Sukkerbrød;294;6,1;1,7;0;2,2;1,3;169;48,8;19,7;29,1;28,9;10,4;1;0,3
05.113;Sukkerbrød, med eggekrem, bær, gele;107;3,9;1,9;0,1;1,1;0,4;46;13,3;4,3;9;12,4;4,5;1;0,1
05.417;Suksessterte;429;29,6;13,4;0,6;10,6;2,9;124;32,8;0,4;32,4;31,3;6,9;2;0,3
05.115;Terte, uten fyll;510;28,4;11,8;0,3;10,1;4,2;55;54,5;37,1;17,4;17;8;2;0,5
05.180;Vannbakkels, uten fyll;393;29,1;11,6;0,2;10,5;4,4;183;21,7;21,3;0,4;0;10,5;1;0,5
;;;;;;;;;;;;;;;
5.11;Nøtter, mandler og frø;;;;;;;;;;;;;;
05.388;Amaranth, tørr;367;7;1,5;0;1,7;2,8;0;59;57,3;1,7;0;13,6;7;0
06.582;Cashewnøtter;592;43,9;7,8;0;23,8;7,8;0;29,4;23,5;5,9;0;18,2;3;0
05.380;Chiafrø, tørket;482;34,2;3,1;0;2,1;24,9;0;1,8;0;1,8;0;21,4;41;0
06.553;Hasselnøtter;670;65;3,7;0;39,8;5;0;3,3;0,3;3;0;13,2;9;0
06.039;Kastanjer, ristede;184;2,2;0,4;0;0,8;0,9;0;34;27;7;0;3,2;8;0
05.012;Linfrø, knuste;513;42,2;3,7;0;7,5;28,7;0;1,6;0;1,6;0;18,3;27;0,1
06.617;Macadamianøtter;753;75,8;12,1;0;58,9;1,5;0;5,6;1,1;4,6;0;7,9;9;0
06.107;Mandler;601;52,1;4,1;0;31,4;11,4;0;6,6;0;6,6;0;21,2;11;0
06.555;Mandler, skåldet;601;52,5;4;0;33,4;12,4;0;5,6;1;4,6;0;21,4;10;0
06.592;Paranøtter;680;66,4;15,1;0;24,5;20,6;0;2,6;0,3;2,3;0;14,3;8;0
06.557;Peanøtter;594;49,2;6,8;0;24,4;15,6;0;7,6;3,7;4;0;25,8;9;0
06.558;Peanøtter, saltet;623;51;7,8;0;32,8;6,2;2;9,5;4,7;4,8;0;26,7;10;1,2
06.559;Peanøttsmør;621;51,8;12,8;0;19,9;16,8;0;13,1;6,4;6,7;3,1;22,8;5;0,9
06.593;Pekannøtter;721;72;6,2;0;40,8;21,6;0;4,4;0,5;4;0;9,2;10;0
06.614;Pinjekjerner;665;61,9;4,3;0;15,7;25,7;0;9,9;5,1;4,9;0;14;6;0
06.668;Pistasjnøtter;589;50,3;5,8;0;25,3;14,3;0;8,1;0,9;7,2;0;21,6;9;0
06.594;Pistasjnøtter, saltet;543;44,8;5,5;0;23,7;13,4;0;9,1;1,4;7,7;0;21;10;1,1
05.465;Psylliumfrø, loppefrø;206;0,5;0;0;0;0;0;10;10;0;0;1,2;78;0,2
