id;product;omega3; omega6;vitaminA; retinol; betacarotene; vitaminD; vitaminE; thiamine;riboflavin;niacin;vitaminB6;folate;vitamineB12; vitamineC; calcium; iron;sodium;potassium;magnesium; zinc;selenium; copper;phosphorus; iodine
1;Melk og melkeprodukter;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Melk og melkebasert drikke;;;;;;;;;;;;;;;;;;;;;;;;
01.003;Skummet melk, Tine;0;0;1;1;1;0;0;0,05;0,15;0,1;0,04;4;0,6;0;130;0;40;171;10;0,4;1;0,01;115;16
01.277;Syrnet melk, blåbær, laktosefri, Biola;0;0;1;1;1;0,8;0;0,04;0,13;0,1;0,03;4;0,4;1;116;0,1;40;155;11;0,4;2;0,01;78;16
01.171;Syrnet melk, blåbær, mager, Biola;0;0;1;1;1;0,8;0;0,04;0,13;0,1;0,03;4;0,4;1;116;0,1;40;155;11;0,4;2;0,01;78;16
01.237;Syrnet melk, blåbær/bringebær, BioQ;0;0;3;2;17;0;0;0,06;0,13;0,1;0,04;7;0,2;1;96;0;90;154;11;0,3;1;0;80;13
01.214;Syrnet melk, bringebær, Biola;0;0;0;0;1;0,8;0;0,04;0,13;0,1;0,04;4;0,4;1;100;0,1;40;160;12;0,4;2;0,01;80;12
01.213;Syrnet melk, jordbær, Biola;0;0;0;0;1;0,8;0;0,04;0,13;0,1;0,04;4;0,4;1;100;0,1;40;160;12;0,4;2;0,01;80;12
01.083;Syrnet melk, Kulturmjølk;0,01;0,01;36;35;18;0;0,1;0,05;0,15;0,1;0,04;5;0,5;0;120;0,1;40;174;12;0,5;2;0;87;16
01.170;Syrnet melk, naturell, Biola;0;0;15;15;6;0,9;0;0,05;0,15;0,1;0,04;5;0,5;0;115;0,1;40;170;13;0,5;2;0;97;16
01.278;Syrnet melk, rødbete/eple/lime, Biola;0;0;14;14;5;0,8;0;0,05;0,14;0,1;0,04;5;0,5;0;100;0,1;40;160;12;0,4;2;0;80;12
01.085;Syrnet melk, Skumma Kulturmjølk;0;0;4;4;2;0;0;0,04;0,15;0;0,04;0;0,5;0;115;0;40;171;10;0,4;1;0;100;16
01.084;Syrnet melk, økologisk, Kefir;0,02;0,02;13;12;16;0;0,1;0;0,15;0,1;0,04;11;0,3;0;120;0,1;40;171;12;0,4;3;0;100;16
;;;;;;;;;;;;;;;;;;;;;;;;;
1.2;Yoghurt;;;;;;;;;;;;;;;;;;;;;;;;
01.233;Skyr, med smak, kunstig søtet;0;0;0;0;0;0;0;0,02;0,14;0,3;0,06;0;0,9;1;97;0;50;110;13;0,5;0;0;140;13
01.234;Skyr, naturell;0;0;12;11;10;0;0;0,01;0,28;0,2;0,05;2;0,7;0;120;0;35;140;12;0,6;0;0,25;150;14
01.299;Yoghurt, blåbær, 0 % fett, Yoplait;0;0;2;2;4;0;0;0,04;0,15;0,1;0,03;4;0,4;1;135;0,1;40;190;13;0,5;2;0;98;15
01.096;Yoghurt, jordbær;0,01;0,01;37;35;18;0;0,1;0,05;0,15;0,1;0,03;3;0,4;0;140;0,1;47;198;14;0,5;2;0,01;102;17
01.222;Yoghurt, med müsli og skogsbær, Go Morgen;0,01;0,01;33;31;20;0;0,1;0,04;0,14;0,1;0,03;3;0,4;0;125;0,1;40;175;12;0,5;2;0,01;91;15
01.011;Yoghurt, naturell;0,01;0,01;41;39;20;0;0,1;0,05;0,17;0,1;0,04;4;0,5;0;160;0,1;50;221;16;0,6;2;0;114;16
01.275;Yoghurt, naturell, laktosefri;0,01;0,01;41;39;20;0;0,1;0,05;0,17;0,1;0,04;4;0,5;0;160;0,1;50;191;13;0,5;1;0;114;16
01.290;Yoghurt, naturell, økologisk;0,02;0,02;15;13;19;0;0,1;0,05;0,17;0,1;0,04;4;0,5;0;160;0,1;50;221;16;0,6;2;0;114;19
01.298;Yoghurt, vanilje, 0 % fett, Yoplait;0;0;2;2;4;0;0;0,05;0,16;0,1;0,04;5;0,5;1;150;0,1;50;214;15;0,6;2;0;111;17
01.279;Yoghurt, vanilje, laktosefri;0,01;0,01;36;35;17;0;0,1;0,04;0,15;0,1;0,03;3;0,4;0;140;0,1;40;187;13;0,5;2;0;101;16
;;;;;;;;;;;;;;;;;;;;;;;;;
1.3;Fløte, rømme, fløteerstatning;;;;;;;;;;;;;;;;;;;;;;;;
01.089;Crème Fraîche, 35 % fett;0,14;0,14;505;488;206;0,2;0,8;0,03;0,15;0;0,02;4;0,2;0;80;0;30;97;6;0,2;1;0;53;17
01.179;Dessert-topping på boks;0;0;M;M;0;M;M;M;M;M;M;M;0;0;160;M;880;440;M;M;M;M;0;1
01.178;Husholdningshvitt, flytende;0;0;M;M;0;M;M;M;M;M;M;M;0;0;160;M;530;500;M;M;M;M;0;1
01.108;Kaffefløte, 10 % fett;0,04;0,04;144;139;59;0,1;0,2;0,04;0.15;0,1;0,03;5;0,4;0;119;0,1;40;157;11;0,4;2;0;80;17
01.177;Kaffehvitt;0;0;M;M;0;M;M;M;M;M;M;M;0;0;160;M;530;500;M;M;M;M;0;1
01.176;Kaffehvitt, pulver, Coffeemate;0,2;0,67;17;0;200;0;0,6;0;1;0;0;0;0;0;4;1,2;400;900;4;0,5;1;0,12;350;1
01.225;Krem, pisket, på boks;0,13;0,13;148;132;194;0;0,8;0,03;0,14;0;0,02;4;0,2;0;80;0;30;98;6;0,2;1;4;53;12
01.015;Kremfløte, 37 % fett;0,15;0,15;352;334;217;0;0;0;0,2;0;0;0;0,4;0;0;0;30;0;0;0;2;0;90;10
01.273;Kremfløte, 37 % fett, laktosefri;0,15;0,15;535;517;218;0,2;0,9;0,03;0.15;0;0,02;4;0,2;0;76;0;30;92;5;0,2;1;0,09;51;12
01.036;Kvarg, 1 % fett, Kesam;0;0;4;4;5;0;0;0;0,18;0,1;0,05;26;0,8;0;125;0;34;150;13;0,6;4;0,02;145;14
01.226;Kvarg, 7 % fett, Kesam;0,03;0,03;32;29;42;0;0,2;0;0,2;0,1;0;26;0,8;0;133;0;34;140;12;0,6;3;0,02;150;16
01.088;Lettrømme, 10 % fett;0,04;0,04;44;39;59;0,1;0,2;0,04;0,1;0,1;0,03;5;0,4;0;119;0,1;30;156;11;0,4;2;0;79;17
01.087;Lettrømme, 18 % fett;0,07;0,07;259;250;106;0,1;0,4;0,04;0.15;0,1;0,03;5;0,4;0;105;0;30;138;9;0,3;2;0;71;16
01.286;Lettrømme, 18 % fett, økologisk;0,09;0,09;258;250;97;0,1;0,4;0,04;0,15;0,1;0,03;5;0,4;0;105;0;30;138;9;0,3;2;0;71;16
01.175;Matfløte, 18 % fett;0,07;0,07;260;251;106;0,1;0,4;0,04;0.15;0,1;0,03;5;0,4;0;104;0;30;133;9;0,3;2;0;71;14
01.294;Matlagingsprodukt, av havre, 13 % fett;0,91;2,43;0;0;0;0;0;0,02;0;0;0;7;0;0;18;0;48;31;4;0;0;M;26;0
01.293;Matlagingsprodukt, av soya, 17 % fett;0,29;8,59;0;0;0;0;16,4;0,03;0;0;0,02;11;0;0;11;0,3;55;72;13;0,2;0;0,1;43;1
01.189;Matlagingsprodukt, whipping;0;0;M;M;0;M;M;M;M;M;M;M;0;0;180;M;700;150;M;M;M;M;0;1
01.180;Rømmedressing, med urter;0,23;0,59;140;129;131;0,2;0,3;0,04;0,13;0,1;0,02;10;0,2;0;110;0;306;159;95;0,3;1;0;78;9
01.086;Seterrømme, 35 % fett;0,14;0,14;505;488;206;0,2;0,8;0,03;0,15;0;0,02;4;0,2;0;80;0;30;97;6;0,2;1;0;53;13
01.296;Syrnet havreprodukt til matlaging, 15 % fett;1,08;3,48;0;0;0;0;0;0,04;0;0;0;12;0;0;120;0;0;45;0;0,1;0;M;25;0
01.295;Syrnet, tyknet havreprodukt;0,15;0,57;0;0;0;1,1;0;0;0,29;0;0;9;0,4;0;120;0;29;44;6;0,1;0;M;47;23
;;;;;;;;;;;;;;;;;;;;;;;;;
1.4;Ost;;;;;;;;;;;;;;;;;;;;;;;;
1.4.1;Ost, ekstra fet;;;;;;;;;;;;;;;;;;;;;;;;
01.136;Brie, hvitmuggost;0,13;0,13;305;289;188;0;0,8;0,06;0,31;1,1;0,13;48;1,6;0;500;0,1;600;86;21;2,9;10;0,02;370;43
01.027;Cheddar, gulost;0,13;0,13;376;364;141;0,3;0,6;0,03;0,28;0,1;0,15;31;2,4;0;660;0,2;800;70;24;3,4;6;0,04;445;30
01.062;Crème Chérie, mykost;0,12;0,12;155;140;182;0,2;0,7;0,02;0,16;0;0;14;0,5;0;390;0,3;900;104;16;2,3;0;0,08;960;6
01.248;Geitost, hvit, Balsfjord;0,11;0,6;256;256;1;0;0,9;0,1;0,26;0,4;0,05;19;0,2;0;1000;0,3;400;101;63;3,9;9;0,06;710;86
01.261;Gorgonzola, blåmuggost;0,17;0,57;350;336;168;0;0;0,01;0,18;0,9;0,07;52;1,2;0;612;0,3;1450;138;18;2,5;7;0,02;356;12
01.262;Gruyere, ost;0,43;1,3;271;268;33;0,6;0,3;0,06;0,28;0,1;0,08;10;1,6;0;1011;0,2;714;81;36;3,9;5;0,03;605;40
01.038;Gräddost;0,15;0,15;362;343;223;0;1;0,05;0,21;0,3;0,02;22;1,7;0;600;0,2;500;55;25;3,2;10;0,03;430;42
01.263;Mascarpone, kremost;0,27;0,89;394;376;214;0,3;1,1;0,04;0,22;0,1;0,04;11;0,6;0;161;0;70;137;11;0,7;2;0;116;14
01.042;Norzola, blåmuggost;0,14;0,14;333;316;206;0;0,9;0,06;0,31;1,1;0,12;47;1,5;0;500;0,1;1000;84;21;2,8;10;0,02;360;42
01.048;Ridderost;0,15;0,15;362;343;223;0;1;0,06;0,29;0,3;0,03;57;3;0;620;0,2;600;64;26;3,5;8;0,03;540;37
01.264;Roquefort, blåmuggost;0,17;0,57;300;295;58;0,7;0,6;0,03;0,41;0,6;0,1;45;0,4;0;608;0,4;1600;120;27;3,7;6;0,12;430;40
01.252;Selbu blå, blåmuggost;0,16;0,16;381;361;235;0;1;0,05;0,27;0,9;0,11;42;1,4;0;440;0,1;880;75;19;2,5;9;0,02;320;37
01.287;Selbu blå, blåmuggost, økologisk;0,2;0,2;331;315;187;0;1;M;0,23;0,9;0,11;45;1,2;0;380;0,1;860;75;19;2,1;9;0,02;280;23
